"_id","price","expense","transactions"
"63bf7ac9f03239e002001600","$43.41","$5.97","63bf7ccef03239554c002449, 63bf7ccef03239855d00155c, 63bf7ccef032397b4f001603, 63bf7ccef03239eb9d0016d4"
"63bf7ac9f03239e002001601","$60.13","$9.12","63bf7ccef032396a8e001696, 63bf7ccef0323922d2001694, 63bf7ccef03239855d001557, 63bf7ccef03239554c00244d"
"63bf7ac9f03239e002001602","$195.05","$6.72","63bf7ccef03239e002001606, 63bf7ccef0323922d200169a"
"63bf7ac9f03239e002001603","$46.25","$9.95","63bf7ccef03239aec900155b, 63bf7ccef03239eb9d0016d3, 63bf7ccef03239aec9001559"
"63bf7ac9f03239e002001604","$87.41","$7.97","63bf7ccef03239855d00155d, 63bf7ccef03239855d001561, 63bf7ccef03239e00200160e, 63bf7ccef0323922d2001697, 63bf7ccef032394f5f002442"
"63bf7ac9f03239e002001605","$73.28","$7.85","63bf7ccef03239966c0016a0, 63bf7ccef03239966c00169f, 63bf7ccef032394cbd0016a0, 63bf7ccef03239554c002453, 63bf7ccef0323901e6001557"
"63bf7ac9f03239343e00169b","$130.65","$7.95","63bf7ccef0323901e6001560, 63bf7ccef032396d89000013"
"63bf7ac9f03239343e00169c","$198.54","$9.50","63bf7ccef03239eb9d0016d9, 63bf7ccef032396a8e001696, 63bf7ccef03239cf1b0016a7, 63bf7ccef0323901e6001562"
"63bf7ac9f03239343e00169d","$147.32","$5.86","63bf7ccef03239343e0016a9, 63bf7ccef03239f920001690"
"63bf7ac9f03239343e00169e","$187.22","$5.82","63bf7ccef03239aec9001560, 63bf7ccef032396d8900000f, 63bf7ccef0323922d2001697"
"63bf7ac9f03239343e00169f","$162.43","$3.28","63bf7ccef032395ccf001697, 63bf7ccef0323901e600155e, 63bf7ccef03239aec9001559"
"63bf7ac9f03239343e0016a0","$30.09","$8.55","63bf7ccef03239343e0016a3"
"63bf7ac9f0323901e6001551","$31.07","$4.98","63bf7ccef032395ccf001695, 63bf7ccef03239eb9d0016dd, 63bf7ccef032397b4f001606, 63bf7ccef03239855d00155b, 63bf7ccef032397b4f001604"
"63bf7ac9f0323901e6001552","$12.21","$6.82","63bf7ccef03239855d00155c, 63bf7ccef032395ccf001696, 63bf7ccef03239cf1b0016a2, 63bf7ccef032396a8e00169a, 63bf7ccef03239966c00169a"
"63bf7ac9f0323901e6001553","$76.31","$3.84","63bf7ccef03239e002001608, 63bf7ccef0323922d200169b, 63bf7ccef03239eb9d0016e6"
"63bf7ac9f0323901e6001554","$169.87","$8.35","63bf7ccef03239eb9d0016d5, 63bf7ccef03239966c00169e, 63bf7ccef0323974200016a7"
"63bf7ac9f0323901e6001555","$187.36","$8.12","63bf7ccef032394f5f00243a, 63bf7ccef03239eb9d0016de, 63bf7ccef03239f920001696"
"63bf7ac9f0323901e6001556","$67.29","$6.32","63bf7ccef032396d89000015, 63bf7ccef03239f920001690, 63bf7ccef03239eb9d0016d2"
"63bf7ac9f032394cbd001699","$85.35","$9.33","63bf7ccef03239aec9001558, 63bf7ccef03239f92000169a, 63bf7ccef03239742000169d, 63bf7ccef03239554c00244a"
"63bf7ac9f032394cbd00169a","$35.75","$9.93","63bf7ccef03239554c002453, 63bf7ccef03239e002001608, 63bf7ccef0323937a500168d"
"63bf7ac9f032394cbd00169b","$59.80","$1.51","63bf7ccef0323937a5001690, 63bf7ccef03239e00200160b, 63bf7ccef032394f5f002441, 63bf7ccef0323975d60016a3, 63bf7ccef032395ccf00169f"
"63bf7ac9f032394cbd00169c","$86.45","$3.55","63bf7ccef032396d8900000f"
"63bf7ac9f032394cbd00169d","$142.21","$1.85","63bf7ccef032396a8e001698, 63bf7ccef03239eb9d0016d0"
"63bf7ac9f032394cbd00169e","$10.01","$5.61","63bf7ccef03239e002001610, 63bf7ccef03239f920001699, 63bf7ccef03239966c00169a, 63bf7ccef03239e002001611, 63bf7ccef032394cbd00169f"
"63bf7ac9f03239cf1b001698","$112.78","$6.74","63bf7ccef032396a8e00169d, 63bf7ccef032396a8e001695"
"63bf7ac9f03239cf1b001699","$156.34","$6.26","63bf7ccef03239e002001606"
"63bf7ac9f03239cf1b00169a","$119.34","$8.62","63bf7ccef0323975d600169e, 63bf7ccef03239554c00244b"
"63bf7ac9f03239cf1b00169b","$87.49","$8.74","63bf7ccef03239343e0016ac, 63bf7ccef0323937a5001698"
"63bf7ac9f03239cf1b00169c","$34.52","$2.31","63bf7ccef03239aec9001562, 63bf7ccef0323937a500168d"
"63bf7ac9f03239cf1b00169d","$90.83","$7.83","63bf7ccef0323975d6001698, 63bf7ccef032394f5f002439, 63bf7ccef03239e00200160f, 63bf7ccef0323975d600169b, 63bf7ccef03239aec9001557"
"63bf7ac9f03239aec9001551","$181.98","$3.02","63bf7ccef032395ccf001698, 63bf7ccef03239343e0016ab, 63bf7ccef0323975d60016a2, 63bf7ccef03239cf1b0016a7"
"63bf7ac9f03239aec9001552","$62.17","$9.52","63bf7ccef03239855d00155e, 63bf7ccef03239966c00169e"
"63bf7ac9f03239aec9001553","$83.76","$1.09","63bf7ccef0323975d60016a3, 63bf7ccef032394f5f002444, 63bf7ccef03239554c002450, 63bf7ccef032395ccf00169b"
"63bf7ac9f03239aec9001554","$62.47","$2.38","63bf7ccef03239eb9d0016e4, 63bf7ccef03239eb9d0016d0, 63bf7ccef03239966c00169b, 63bf7ccef03239eb9d0016d5, 63bf7ccef0323975d6001698"
"63bf7ac9f03239aec9001555","$54.68","$5.12","63bf7ccef032396d89000013, 63bf7ccef0323974200016a7, 63bf7ccef0323922d2001699, 63bf7ccef03239e002001608"
"63bf7ac9f03239aec9001556","$91.72","$4.73","63bf7ccef03239cf1b0016a3, 63bf7ccef032394f5f00243e, 63bf7ccef0323974200016a2"
"63bf7ac9f03239554c002443","$159.65","$3.79","63bf7ccef03239554c00244e, 63bf7ccef03239855d001561, 63bf7ccef032395ccf00169b, 63bf7ccef03239343e0016aa, 63bf7ccef032394f5f002439"
"63bf7ac9f03239554c002444","$190.89","$5.24","63bf7ccef03239343e0016a2, 63bf7ccef0323974200016a3, 63bf7ccef0323922d200169c, 63bf7ccef03239966c00169e, 63bf7ccef03239cf1b0016a7"
"63bf7ac9f03239554c002445","$155.13","$1.68","63bf7ccef03239cf1b00169f, 63bf7ccef03239966c00169f, 63bf7ccef0323937a5001697, 63bf7ccef0323975d60016a2"
"63bf7ac9f03239554c002446","$43.82","$7.85","63bf7ccef03239eb9d0016dd, 63bf7ccef0323901e6001557"
"63bf7ac9f03239554c002447","$58.31","$9.94","63bf7ccef03239cf1b0016a6, 63bf7ccef03239966c00169a, 63bf7ccef0323974200016a1, 63bf7ccef0323975d600169c"
"63bf7ac9f03239554c002448","$138.47","$6.40","63bf7ccef032397b4f001606, 63bf7ccef03239f920001691, 63bf7ccef03239966c001698"
"63bf7ac9f032397420001696","$10.40","$3.20","63bf7ccef03239966c00169a, 63bf7ccef032396d89000013, 63bf7ccef03239eb9d0016d6, 63bf7ccef032396a8e00169e"
"63bf7ac9f032397420001697","$22.48","$5.36","63bf7ccef03239cf1b0016a6, 63bf7ccef03239eb9d0016df"
"63bf7ac9f032397420001698","$92.16","$9.12","63bf7ccef03239cf1b0016a9, 63bf7ccef032396d89000015, 63bf7ccef03239f920001691, 63bf7ccef03239f920001699"
"63bf7ac9f032397420001699","$140.77","$9.02","63bf7ccef0323974200016a2, 63bf7ccef032395ccf00169c, 63bf7ccef0323937a500168d"
"63bf7ac9f03239742000169a","$100.62","$6.55","63bf7ccef032394f5f002442, 63bf7ccef0323922d2001695, 63bf7ccef032395ccf001696, 63bf7ccef0323974200016a7"
"63bf7ac9f03239742000169b","$69.13","$6.26","63bf7ccef03239eb9d0016d0, 63bf7ccef0323975d600169c, 63bf7ccef03239cf1b0016a8"
"63bf7ac9f03239966c001692","$124.82","$8.49","63bf7ccef03239eb9d0016de, 63bf7ccef03239eb9d0016d3, 63bf7ccef0323974200016a7, 63bf7ccef032396d8900000e, 63bf7ccef032397b4f001607"
"63bf7ac9f03239966c001693","$196.68","$3.32","63bf7ccef03239554c002452, 63bf7ccef0323922d2001698, 63bf7ccef03239aec9001562, 63bf7ccef03239855d00155f, 63bf7ccef0323901e600155f"
"63bf7ac9f03239966c001694","$172.48","$2.38","63bf7ccef032394cbd0016a0, 63bf7ccef03239343e0016aa, 63bf7ccef032395ccf00169a, 63bf7ccef03239554c00244d, 63bf7ccef032396a8e001699"
"63bf7ac9f03239966c001695","$112.84","$4.34","63bf7ccef032396d89000013, 63bf7ccef03239554c00244c"
"63bf7ac9f03239966c001696","$37.97","$5.76","63bf7ccef032394f5f002440, 63bf7ccef03239eb9d0016df, 63bf7ccef0323937a5001694, 63bf7ccef032396a8e001698, 63bf7ccef032396a8e001696"
"63bf7ac9f03239966c001697","$123.72","$2.85","63bf7ccef03239eb9d0016e3, 63bf7ccef0323974200016a6, 63bf7ccef0323937a5001691"
"63bf7ac9f0323975d6001692","$15.02","$2.00","63bf7ccef032396a8e001697, 63bf7ccef0323975d6001698"
"63bf7ac9f0323975d6001693","$19.69","$2.65","63bf7ccef0323937a500168e"
"63bf7ac9f0323975d6001694","$30.80","$5.02","63bf7ccef0323975d600169f, 63bf7ccef032394f5f002440, 63bf7ccef032396a8e001695, 63bf7ccef03239742000169c"
"63bf7ac9f0323975d6001695","$90.56","$2.93","63bf7ccef0323975d600169d"
"63bf7ac9f0323975d6001696","$30.37","$8.63","63bf7ccef0323922d200169c, 63bf7ccef0323974200016a5, 63bf7ccef032394f5f002443"
"63bf7ac9f0323975d6001697","$149.26","$1.33","63bf7ccef03239554c00244d, 63bf7ccef03239e002001606, 63bf7ccef03239eb9d0016d6, 63bf7ccef03239966c00169e"
"63bf7ac9f032396a8e00168e","$167.45","$9.30","63bf7ccef0323937a5001693, 63bf7ccef03239343e0016a9, 63bf7ccef032397b4f001608"
"63bf7ac9f032396a8e00168f","$50.36","$4.38","63bf7ccef032394f5f00243f"
"63bf7ac9f032396a8e001690","$151.61","$2.27","63bf7ccef03239966c001699, 63bf7ccef03239742000169f"
"63bf7ac9f032396a8e001691","$191.46","$5.60","63bf7ccef0323901e600155f"
"63bf7ac9f032396a8e001692","$131.96","$8.80","63bf7ccef032397b4f001605, 63bf7ccef03239855d001561, 63bf7ccef03239eb9d0016d9, 63bf7ccef0323901e6001558, 63bf7ccef032394f5f002444"
"63bf7ac9f032396a8e001693","$164.96","$4.16","63bf7ccef03239eb9d0016d8"
"63bf7ac9f032395ccf00168e","$13.57","$5.18","63bf7ccef032395ccf001695"
"63bf7ac9f032395ccf00168f","$177.57","$7.04","63bf7ccef0323922d2001698, 63bf7ccef03239855d00155c"
"63bf7ac9f032395ccf001690","$172.71","$5.73","63bf7ccef03239966c00169d"
"63bf7ac9f032395ccf001691","$17.48","$4.81","63bf7ccef0323974200016a0, 63bf7ccef0323937a5001692"
"63bf7ac9f032395ccf001692","$54.13","$7.44","63bf7ccef0323922d2001694, 63bf7ccef03239eb9d0016df"
"63bf7ac9f032395ccf001693","$155.93","$9.10","63bf7ccef03239343e0016a7, 63bf7ccef032394f5f002440, 63bf7ccef03239cf1b0016a9, 63bf7ccef032395ccf00169a"
"63bf7ac9f032397b4f0015fb","$13.34","$6.17","63bf7ccef03239cf1b0016a4"
"63bf7ac9f032397b4f0015fc","$75.89","$1.11","63bf7ccef03239aec900155f, 63bf7ccef03239966c0016a0, 63bf7ccef03239cf1b00169f, 63bf7ccef032394f5f002440"
"63bf7ac9f032397b4f0015fd","$153.85","$6.99","63bf7ccef03239343e0016a3, 63bf7ccef0323974200016a3, 63bf7ccef0323975d600169c, 63bf7ccef03239742000169c, 63bf7ccef03239cf1b0016a3"
"63bf7ac9f032397b4f0015fe","$187.83","$6.66","63bf7ccef0323937a5001692, 63bf7ccef03239aec9001559, 63bf7ccef0323922d200169b, 63bf7ccef0323922d200169c"
"63bf7ac9f032397b4f0015ff","$119.33","$1.40","63bf7ccef032397b4f00160b, 63bf7ccef03239eb9d0016ce, 63bf7ccef03239eb9d0016d3, 63bf7ccef032397b4f001602, 63bf7ccef03239cf1b0016a7"
"63bf7ac9f032397b4f001600","$54.00","$5.61","63bf7ccef03239554c002454, 63bf7ccef032394cbd0016a9"
"63bf7ac9f0323922d200168e","$144.81","$7.45","63bf7ccef032395ccf00169b, 63bf7ccef03239eb9d0016dd, 63bf7ccef03239eb9d0016d4"
"63bf7ac9f0323922d200168f","$37.04","$5.86","63bf7ccef0323974200016a5"
"63bf7ac9f0323922d2001690","$161.03","$4.48","63bf7ccef03239966c00169a"
"63bf7ac9f0323922d2001691","$73.46","$7.95","63bf7ccef032395ccf001696, 63bf7ccef03239eb9d0016de, 63bf7ccef03239f92000168f, 63bf7ccef032394f5f00243e, 63bf7ccef032394cbd0016a5"
"63bf7ac9f0323922d2001692","$120.96","$8.90","63bf7ccef032396a8e00169e, 63bf7ccef032397b4f001603"
"63bf7ac9f0323922d2001693","$34.46","$9.25","63bf7ccef032396d89000012, 63bf7ccef03239f920001697, 63bf7ccef0323937a5001694, 63bf7ccef03239855d00155b, 63bf7ccef032395ccf001697"
"63bf7ac9f032396d89000007","$172.27","$3.92","63bf7ccef03239554c00244b"
"63bf7ac9f032396d89000008","$20.54","$8.12","63bf7ccef03239855d001558"
"63bf7ac9f032396d89000009","$80.31","$7.04","63bf7ccef0323901e6001558, 63bf7ccef0323937a5001693, 63bf7ccef03239eb9d0016d9"
"63bf7ac9f032396d8900000a","$77.67","$4.14","63bf7ccef03239343e0016ab"
"63bf7ac9f032396d8900000b","$47.25","$5.53","63bf7ccef03239343e0016a8, 63bf7ccef032394f5f00243e"
"63bf7ac9f032396d8900000c","$181.02","$7.57","63bf7ccef0323922d2001698, 63bf7ccef03239eb9d0016e3, 63bf7ccef032396a8e00169c, 63bf7ccef032397b4f001608, 63bf7ccef032396d89000013"
"63bf7ac9f03239f920001689","$67.20","$8.37","63bf7ccef032396a8e00169b, 63bf7ccef03239343e0016a2, 63bf7ccef03239966c00169d, 63bf7ccef0323922d2001698, 63bf7ccef03239855d001561"
"63bf7ac9f03239f92000168a","$58.15","$3.19","63bf7ccef03239f920001690"
"63bf7ac9f03239f92000168b","$145.65","$3.83","63bf7ccef032394cbd0016aa"
"63bf7ac9f03239f92000168c","$134.08","$7.03","63bf7ccef032396a8e00169a, 63bf7ccef032397b4f001604, 63bf7ccef03239eb9d0016d1, 63bf7ccef03239cf1b0016a7, 63bf7ccef03239eb9d0016ea"
"63bf7ac9f03239f92000168d","$33.79","$4.54","63bf7ccef032394cbd0016a1, 63bf7ccef0323922d200169d, 63bf7ccef03239cf1b0016a1, 63bf7ccef0323975d60016a3, 63bf7ccef03239aec9001557"
"63bf7ac9f03239f92000168e","$182.10","$9.54","63bf7ccef032396a8e001698, 63bf7ccef0323922d2001699, 63bf7ccef03239742000169c, 63bf7ccef03239aec900155d"
"63bf7ac9f032394f5f002433","$129.93","$1.15","63bf7ccef0323975d600169a, 63bf7ccef032397b4f001604, 63bf7ccef03239966c001699, 63bf7ccef032397b4f001603"
"63bf7ac9f032394f5f002434","$148.47","$1.63","63bf7ccef03239554c00244e, 63bf7ccef032395ccf00169f, 63bf7ccef0323937a500168d, 63bf7ccef0323975d60016a1"
"63bf7ac9f032394f5f002435","$13.52","$9.76","63bf7ccef03239343e0016a3, 63bf7ccef03239966c00169f, 63bf7ccef03239cf1b0016a8, 63bf7ccef032395ccf00169d"
"63bf7ac9f032394f5f002436","$120.88","$5.94","63bf7ccef03239e00200160d, 63bf7ccef03239cf1b0016a1, 63bf7ccef032396d8900000f"
"63bf7ac9f032394f5f002437","$153.54","$9.63","63bf7ccef03239eb9d0016d0, 63bf7ccef032396d89000010"
"63bf7ac9f032394f5f002438","$35.74","$8.71","63bf7ccef0323975d6001698, 63bf7ccef03239554c00244c, 63bf7ccef03239cf1b0016a0, 63bf7ccef032394f5f002442, 63bf7ccef03239f92000168f"
"63bf7ac9f0323937a5001687","$120.21","$5.00","63bf7ccef03239554c00244a, 63bf7ccef032394cbd0016a1, 63bf7ccef03239966c00169e, 63bf7ccef03239742000169f, 63bf7ccef03239eb9d0016e2"
"63bf7ac9f0323937a5001688","$180.06","$6.39","63bf7ccef03239554c002453"
"63bf7ac9f0323937a5001689","$92.70","$5.53","63bf7ccef03239343e0016a9, 63bf7ccef03239cf1b0016a1, 63bf7ccef032397b4f001609"
"63bf7ac9f0323937a500168a","$35.39","$2.89","63bf7ccef0323937a5001694, 63bf7ccef03239eb9d0016da, 63bf7ccef0323937a5001698, 63bf7ccef03239eb9d0016e6"
"63bf7ac9f0323937a500168b","$159.59","$3.54","63bf7ccef03239eb9d0016d9, 63bf7ccef032396a8e001697, 63bf7ccef032394cbd0016aa, 63bf7ccef03239f920001693"
"63bf7ac9f0323937a500168c","$116.66","$5.60","63bf7ccef03239aec900155a, 63bf7ccef032394cbd0016a2, 63bf7ccef032396a8e001694, 63bf7ccef0323975d60016a0"
"63bf7ac9f03239855d001551","$19.66","$6.43","63bf7ccef03239eb9d0016d0, 63bf7ccef03239554c00244e, 63bf7ccef0323922d2001697"
"63bf7ac9f03239855d001552","$99.78","$7.03","63bf7ccef03239eb9d0016cd, 63bf7ccef032395ccf001697, 63bf7ccef03239855d001558, 63bf7ccef03239966c00169c, 63bf7ccef0323922d2001696"
"63bf7ac9f03239855d001553","$145.56","$9.40","63bf7ccef0323922d2001694"
"63bf7ac9f03239855d001554","$133.65","$1.03","63bf7ccef0323937a5001690, 63bf7ccef03239f920001696, 63bf7ccef0323901e600155e, 63bf7ccef032396d89000018, 63bf7ccef0323901e6001560"
"63bf7ac9f03239855d001555","$174.42","$5.30","63bf7ccef03239aec9001558"
"63bf7ac9f03239855d001556","$77.55","$1.01","63bf7ccef03239e002001607"
"63bf7ac9f03239eb9d0016c3","$103.01","$6.81","63bf7ccef03239966c001699, 63bf7ccef03239554c00244e, 63bf7ccef03239eb9d0016cd, 63bf7ccef03239cf1b0016a8, 63bf7ccef032394f5f00243b"
"63bf7ac9f03239eb9d0016c4","$88.02","$8.00","63bf7ccef0323901e600155f, 63bf7ccef03239eb9d0016e6"
"63bf7ac9f03239eb9d0016c5","$119.84","$8.95","63bf7ccef032395ccf001695, 63bf7ccef03239f920001695"
"63bf7ac9f03239eb9d0016c6","$18.02","$5.48","63bf7ccef03239e00200160b, 63bf7ccef032395ccf00169a, 63bf7ccef03239aec9001560, 63bf7ccef0323901e600155e, 63bf7ccef03239343e0016a9"
"63bf7ac9f03239eb9d0016c7","$121.59","$7.27","63bf7ccef0323975d600169b, 63bf7ccef032396a8e00169d, 63bf7ccef03239eb9d0016d5, 63bf7ccef03239e00200160e"
"63bf7ac9f03239eb9d0016c8","$42.71","$7.26","63bf7ccef032396a8e001696, 63bf7ccef032397b4f001608"
"63bf7ac9f03239eb9d0016c9","$106.89","$2.49","63bf7ccef03239966c00169d"
"63bf7ac9f03239eb9d0016ca","$162.96","$2.18","63bf7ccef03239f920001691, 63bf7ccef0323937a5001693, 63bf7ccef03239f920001694, 63bf7ccef0323901e600155b"
"63bf7ac9f03239eb9d0016cb","$102.90","$1.40","63bf7ccef03239966c00169f, 63bf7ccef032394cbd0016a6, 63bf7ccef032395ccf00169d, 63bf7ccef032395ccf00169e, 63bf7ccef032396a8e001697"
"63bf7ac9f03239eb9d0016cc","$21.98","$7.86","63bf7ccef03239343e0016a3, 63bf7ccef032397b4f001606, 63bf7ccef0323901e6001559"